Formulation	DrugName	SubCat	SubCat1
Capsule	Paracetamol	Antacid	Penicillin
Injection	Aspirin	Antibiotic	NSAID
Capsule	Cetrizine	Antibiotic	Salicylate
Syrup	Cetrizine	Antacid	Penicillin
Tablet	Ibuprofen	Painkiller	NSAID
Injection	Ibuprofen	Antipyretic	Salicylate
Ointment	Omeprazole	Antibiotic	H1 Blocker
Injection	Metformin	Antacid	Salicylate
Tablet	Omeprazole	Antipyretic	PPI
Capsule	Omeprazole	Antacid	PPI
Capsule	Cetrizine	Antacid	Salicylate
Tablet	Omeprazole	Antibiotic	NSAID
Tablet	Metformin	Antipyretic	Penicillin
Injection	Cetrizine	Antihistamine	NSAID
Injection	Omeprazole	Painkiller	PPI
Tablet	Aspirin	Painkiller	H1 Blocker
Capsule	Metformin	Painkiller	Salicylate
Capsule	Paracetamol	Antipyretic	H1 Blocker
Tablet	Omeprazole	Antacid	NSAID
Tablet	Ibuprofen	Antacid	H1 Blocker
Capsule	Amoxicillin	Painkiller	PPI
Tablet	Aspirin	Antacid	Penicillin
Tablet	Amoxicillin	Antihistamine	Penicillin
Syrup	Metformin	Painkiller	Salicylate
Syrup	Aspirin	Antihistamine	H1 Blocker
Tablet	Cetrizine	Antacid	Salicylate
Injection	Cetrizine	Antihistamine	H1 Blocker
Ointment	Paracetamol	Antipyretic	PPI
Capsule	Cetrizine	Antipyretic	Salicylate
Injection	Omeprazole	Antibiotic	PPI
Ointment	Omeprazole	Painkiller	Salicylate
Injection	Cetrizine	Antibiotic	NSAID
Tablet	Omeprazole	Antihistamine	H1 Blocker
Syrup	Aspirin	Antihistamine	Penicillin
Tablet	Omeprazole	Painkiller	Penicillin
Syrup	Paracetamol	Antihistamine	Penicillin
Syrup	Metformin	Painkiller	H1 Blocker
Tablet	Amoxicillin	Antibiotic	NSAID
Ointment	Omeprazole	Painkiller	Penicillin
Ointment	Amoxicillin	Antibiotic	Salicylate
Injection	Aspirin	Antibiotic	Penicillin
Syrup	Aspirin	Antibiotic	PPI
Injection	Paracetamol	Antipyretic	Salicylate
Syrup	Omeprazole	Antacid	NSAID
Ointment	Paracetamol	Antacid	NSAID
Ointment	Omeprazole	Antibiotic	Penicillin
Syrup	Ibuprofen	Antacid	NSAID
Capsule	Aspirin	Antihistamine	NSAID
Ointment	Omeprazole	Antacid	NSAID
Tablet	Metformin	Antipyretic	H1 Blocker
Injection	Paracetamol	Antibiotic	PPI
Syrup	Ibuprofen	Antibiotic	Salicylate
Capsule	Ibuprofen	Painkiller	PPI
Ointment	Amoxicillin	Antipyretic	Penicillin
Tablet	Cetrizine	Antihistamine	Penicillin
Syrup	Paracetamol	Antibiotic	Salicylate
Ointment	Aspirin	Antacid	H1 Blocker
Syrup	Omeprazole	Antacid	PPI
Injection	Aspirin	Antibiotic	H1 Blocker
Injection	Aspirin	Antihistamine	PPI
Syrup	Ibuprofen	Antacid	Salicylate
Ointment	Metformin	Antihistamine	PPI
Tablet	Amoxicillin	Antacid	PPI
Injection	Omeprazole	Antihistamine	PPI
Tablet	Aspirin	Painkiller	H1 Blocker
Ointment	Amoxicillin	Antipyretic	NSAID
Injection	Ibuprofen	Antipyretic	H1 Blocker
Ointment	Metformin	Antacid	NSAID
Capsule	Paracetamol	Antipyretic	H1 Blocker
Injection	Paracetamol	Antipyretic	PPI
Capsule	Paracetamol	Antacid	Salicylate
Capsule	Paracetamol	Antipyretic	H1 Blocker
Injection	Omeprazole	Antibiotic	NSAID
Injection	Ibuprofen	Antibiotic	Salicylate
Ointment	Amoxicillin	Antibiotic	PPI
Syrup	Metformin	Antihistamine	PPI
Ointment	Amoxicillin	Antibiotic	H1 Blocker
Syrup	Ibuprofen	Antibiotic	Salicylate
Tablet	Metformin	Antipyretic	PPI
Injection	Paracetamol	Antihistamine	Penicillin
Capsule	Omeprazole	Antacid	NSAID
Capsule	Paracetamol	Antihistamine	Salicylate
Capsule	Ibuprofen	Antibiotic	PPI
Tablet	Aspirin	Antacid	NSAID
Ointment	Paracetamol	Antibiotic	PPI
Injection	Ibuprofen	Antacid	Salicylate
Syrup	Paracetamol	Antibiotic	NSAID
Injection	Omeprazole	Antacid	NSAID
Capsule	Amoxicillin	Antibiotic	Salicylate
Capsule	Paracetamol	Antihistamine	PPI
Injection	Omeprazole	Antihistamine	PPI
Tablet	Ibuprofen	Antipyretic	PPI
Syrup	Cetrizine	Antihistamine	PPI
Tablet	Omeprazole	Antacid	H1 Blocker
Injection	Paracetamol	Antibiotic	PPI
Tablet	Amoxicillin	Antihistamine	NSAID
Capsule	Amoxicillin	Antipyretic	NSAID
Injection	Amoxicillin	Antihistamine	NSAID
Capsule	Paracetamol	Antibiotic	NSAID
Ointment	Aspirin	Antihistamine	H1 Blocker
Tablet	Ibuprofen	Antibiotic	Penicillin
Injection	Aspirin	Painkiller	NSAID
Syrup	Cetrizine	Antacid	Salicylate
Tablet	Metformin	Antipyretic	PPI
Capsule	Paracetamol	Antihistamine	H1 Blocker
Tablet	Cetrizine	Antibiotic	Penicillin
Injection	Paracetamol	Painkiller	NSAID
Capsule	Metformin	Antipyretic	H1 Blocker
Injection	Paracetamol	Painkiller	NSAID
Capsule	Amoxicillin	Antihistamine	Salicylate
Tablet	Amoxicillin	Antacid	Penicillin
Tablet	Omeprazole	Painkiller	H1 Blocker
Capsule	Amoxicillin	Antibiotic	Penicillin
Ointment	Cetrizine	Antibiotic	NSAID
Injection	Aspirin	Antibiotic	NSAID
Injection	Ibuprofen	Antacid	H1 Blocker
Ointment	Omeprazole	Painkiller	PPI
Capsule	Aspirin	Painkiller	H1 Blocker
Tablet	Amoxicillin	Antihistamine	H1 Blocker
Syrup	Cetrizine	Painkiller	H1 Blocker
Syrup	Paracetamol	Antacid	H1 Blocker
Ointment	Metformin	Antihistamine	H1 Blocker
Tablet	Omeprazole	Antipyretic	Salicylate
Tablet	Ibuprofen	Antihistamine	H1 Blocker
Syrup	Omeprazole	Antipyretic	NSAID
Syrup	Metformin	Antihistamine	PPI
Tablet	Paracetamol	Antihistamine	NSAID
Injection	Cetrizine	Painkiller	NSAID
Injection	Cetrizine	Antibiotic	Penicillin
Capsule	Aspirin	Antihistamine	NSAID
Capsule	Amoxicillin	Painkiller	NSAID
Syrup	Metformin	Antacid	NSAID
Tablet	Cetrizine	Antibiotic	PPI
Tablet	Ibuprofen	Painkiller	NSAID
Tablet	Paracetamol	Antipyretic	NSAID
Tablet	Amoxicillin	Antibiotic	Salicylate
Ointment	Aspirin	Antibiotic	Salicylate
Injection	Metformin	Painkiller	PPI
Capsule	Metformin	Painkiller	Salicylate
Capsule	Aspirin	Antacid	PPI
Ointment	Aspirin	Antibiotic	NSAID
Tablet	Omeprazole	Antacid	PPI
Injection	Paracetamol	Painkiller	Salicylate
Injection	Metformin	Antibiotic	Penicillin
Ointment	Omeprazole	Painkiller	NSAID
Syrup	Amoxicillin	Antipyretic	Penicillin
Injection	Aspirin	Antibiotic	Penicillin
Syrup	Omeprazole	Antipyretic	Penicillin
Syrup	Omeprazole	Antihistamine	NSAID
Injection	Aspirin	Antacid	PPI
Ointment	Ibuprofen	Antihistamine	Penicillin
Injection	Paracetamol	Antipyretic	Salicylate
Injection	Ibuprofen	Painkiller	Salicylate
Capsule	Omeprazole	Antacid	NSAID
Ointment	Omeprazole	Painkiller	H1 Blocker
Capsule	Aspirin	Antacid	PPI
Syrup	Aspirin	Antacid	H1 Blocker
Ointment	Amoxicillin	Antacid	PPI
Tablet	Amoxicillin	Painkiller	Penicillin
Capsule	Omeprazole	Antipyretic	NSAID
Injection	Paracetamol	Painkiller	NSAID
Ointment	Paracetamol	Antihistamine	NSAID
Injection	Omeprazole	Antacid	NSAID
Capsule	Aspirin	Antipyretic	Penicillin
Syrup	Amoxicillin	Antibiotic	H1 Blocker
Injection	Cetrizine	Antihistamine	Penicillin
Capsule	Omeprazole	Antipyretic	NSAID
Injection	Ibuprofen	Antacid	PPI
Capsule	Omeprazole	Antipyretic	NSAID
Tablet	Cetrizine	Antacid	NSAID
Tablet	Omeprazole	Painkiller	NSAID
Tablet	Metformin	Antihistamine	Salicylate
Injection	Cetrizine	Painkiller	H1 Blocker
Syrup	Omeprazole	Painkiller	PPI
Ointment	Aspirin	Antipyretic	Salicylate
Capsule	Amoxicillin	Antihistamine	NSAID
Injection	Amoxicillin	Antipyretic	Salicylate
Injection	Metformin	Antihistamine	H1 Blocker
Capsule	Metformin	Painkiller	NSAID
Capsule	Paracetamol	Antipyretic	Salicylate
Syrup	Aspirin	Antacid	H1 Blocker
Injection	Omeprazole	Antipyretic	Penicillin
Injection	Paracetamol	Antibiotic	PPI
Capsule	Ibuprofen	Painkiller	PPI
Injection	Ibuprofen	Antibiotic	PPI
Ointment	Omeprazole	Antihistamine	Penicillin
Injection	Ibuprofen	Antibiotic	NSAID
Ointment	Ibuprofen	Painkiller	PPI
Capsule	Cetrizine	Antacid	H1 Blocker
Tablet	Ibuprofen	Antipyretic	H1 Blocker
Tablet	Ibuprofen	Antipyretic	PPI
Capsule	Omeprazole	Antibiotic	Penicillin
Capsule	Paracetamol	Antihistamine	NSAID
Injection	Cetrizine	Antibiotic	Salicylate
Tablet	Omeprazole	Antipyretic	Penicillin
Syrup	Cetrizine	Antipyretic	H1 Blocker
Tablet	Cetrizine	Antihistamine	NSAID
Tablet	Amoxicillin	Antacid	Penicillin
Ointment	Omeprazole	Antihistamine	NSAID
Syrup	Paracetamol	Antibiotic	Penicillin
Syrup	Omeprazole	Antihistamine	Salicylate
Syrup	Amoxicillin	Antacid	H1 Blocker
Capsule	Ibuprofen	Antibiotic	Penicillin
Syrup	Aspirin	Antibiotic	PPI
Capsule	Ibuprofen	Antacid	NSAID
Capsule	Paracetamol	Antibiotic	Salicylate
Tablet	Metformin	Antacid	H1 Blocker
Capsule	Omeprazole	Antihistamine	Penicillin
Syrup	Cetrizine	Antihistamine	Salicylate
Capsule	Omeprazole	Antacid	NSAID
Injection	Aspirin	Painkiller	NSAID
Injection	Paracetamol	Antihistamine	PPI
Tablet	Aspirin	Antibiotic	PPI
Ointment	Omeprazole	Antihistamine	Penicillin
Capsule	Ibuprofen	Antibiotic	Penicillin
Tablet	Aspirin	Antibiotic	Salicylate
Tablet	Metformin	Painkiller	Salicylate
Ointment	Paracetamol	Antacid	NSAID
Syrup	Omeprazole	Antihistamine	NSAID
Tablet	Ibuprofen	Antacid	Penicillin
Injection	Aspirin	Antipyretic	NSAID
Injection	Ibuprofen	Antacid	NSAID
Syrup	Metformin	Antipyretic	PPI
Syrup	Aspirin	Antacid	H1 Blocker
Injection	Aspirin	Painkiller	NSAID
Tablet	Aspirin	Antibiotic	PPI
Tablet	Paracetamol	Antibiotic	Penicillin
Syrup	Paracetamol	Antihistamine	PPI
Syrup	Cetrizine	Antibiotic	NSAID
Tablet	Metformin	Antibiotic	NSAID
Capsule	Paracetamol	Antihistamine	PPI
Syrup	Aspirin	Antacid	PPI
Ointment	Omeprazole	Painkiller	H1 Blocker
Ointment	Amoxicillin	Antipyretic	Salicylate
Tablet	Ibuprofen	Antibiotic	PPI
Tablet	Paracetamol	Antacid	H1 Blocker
Syrup	Metformin	Painkiller	PPI
Capsule	Paracetamol	Antipyretic	Penicillin
Capsule	Metformin	Antihistamine	PPI
Ointment	Aspirin	Painkiller	Penicillin
Injection	Aspirin	Antipyretic	Penicillin
Tablet	Cetrizine	Antihistamine	NSAID
Tablet	Paracetamol	Antibiotic	H1 Blocker
Capsule	Paracetamol	Antipyretic	Salicylate
Capsule	Aspirin	Antihistamine	H1 Blocker
Ointment	Aspirin	Antihistamine	PPI
Injection	Cetrizine	Painkiller	PPI
Syrup	Ibuprofen	Antihistamine	Salicylate
Capsule	Amoxicillin	Antihistamine	Penicillin
Ointment	Omeprazole	Antibiotic	H1 Blocker
Tablet	Omeprazole	Antihistamine	PPI
Injection	Ibuprofen	Antacid	PPI
Capsule	Metformin	Antibiotic	PPI
Ointment	Ibuprofen	Antipyretic	Penicillin
Injection	Paracetamol	Painkiller	Salicylate
Ointment	Ibuprofen	Antacid	Salicylate
Ointment	Omeprazole	Antacid	Penicillin
Injection	Aspirin	Antacid	PPI
Ointment	Aspirin	Antipyretic	Salicylate
Injection	Ibuprofen	Painkiller	Salicylate
Tablet	Cetrizine	Antibiotic	H1 Blocker
Capsule	Aspirin	Antihistamine	H1 Blocker
Injection	Ibuprofen	Antihistamine	Salicylate
Syrup	Metformin	Antipyretic	Salicylate
Syrup	Cetrizine	Antibiotic	H1 Blocker
Injection	Paracetamol	Antacid	H1 Blocker
Capsule	Amoxicillin	Antacid	PPI
Syrup	Ibuprofen	Antipyretic	Salicylate
Tablet	Aspirin	Antibiotic	H1 Blocker
Injection	Omeprazole	Antacid	Penicillin
Tablet	Paracetamol	Painkiller	NSAID
Injection	Cetrizine	Painkiller	PPI
Ointment	Amoxicillin	Antihistamine	Salicylate
Syrup	Omeprazole	Antipyretic	NSAID
Tablet	Omeprazole	Painkiller	PPI
Tablet	Aspirin	Antihistamine	PPI
Injection	Amoxicillin	Painkiller	NSAID
Syrup	Amoxicillin	Painkiller	Penicillin
Ointment	Amoxicillin	Antihistamine	Penicillin
Injection	Omeprazole	Antipyretic	Penicillin
Ointment	Paracetamol	Painkiller	H1 Blocker
Syrup	Ibuprofen	Antipyretic	H1 Blocker
Ointment	Ibuprofen	Painkiller	PPI
Syrup	Amoxicillin	Antihistamine	H1 Blocker
Tablet	Ibuprofen	Antacid	H1 Blocker
Injection	Metformin	Antipyretic	NSAID
Injection	Paracetamol	Antacid	NSAID
Tablet	Cetrizine	Antipyretic	H1 Blocker
Syrup	Paracetamol	Antibiotic	Penicillin
Ointment	Omeprazole	Painkiller	NSAID
Tablet	Metformin	Painkiller	H1 Blocker
Syrup	Omeprazole	Antipyretic	Salicylate
Injection	Amoxicillin	Painkiller	PPI
Ointment	Omeprazole	Painkiller	Salicylate
Capsule	Cetrizine	Painkiller	Penicillin
Capsule	Metformin	Antibiotic	Salicylate
Ointment	Amoxicillin	Antihistamine	NSAID
Ointment	Paracetamol	Antihistamine	Penicillin
Syrup	Amoxicillin	Antihistamine	H1 Blocker
Syrup	Ibuprofen	Painkiller	H1 Blocker
Injection	Paracetamol	Antihistamine	H1 Blocker
Tablet	Metformin	Antibiotic	H1 Blocker
Syrup	Cetrizine	Painkiller	NSAID
Syrup	Aspirin	Painkiller	Penicillin
Syrup	Aspirin	Antacid	Penicillin
Ointment	Metformin	Painkiller	Salicylate
Ointment	Ibuprofen	Antacid	NSAID
Injection	Cetrizine	Antihistamine	H1 Blocker
Capsule	Paracetamol	Antihistamine	H1 Blocker
Injection	Paracetamol	Antacid	Penicillin
Injection	Paracetamol	Antihistamine	H1 Blocker
Capsule	Paracetamol	Painkiller	NSAID
Tablet	Aspirin	Antihistamine	H1 Blocker
Tablet	Metformin	Painkiller	PPI
Ointment	Paracetamol	Antihistamine	NSAID
Ointment	Omeprazole	Antihistamine	H1 Blocker
Ointment	Metformin	Antipyretic	H1 Blocker
Syrup	Paracetamol	Antihistamine	NSAID
Injection	Cetrizine	Painkiller	NSAID
Ointment	Cetrizine	Antacid	H1 Blocker
Capsule	Amoxicillin	Painkiller	Salicylate
Injection	Cetrizine	Antacid	Penicillin
Syrup	Metformin	Antihistamine	H1 Blocker
Syrup	Paracetamol	Antibiotic	H1 Blocker
Tablet	Paracetamol	Antihistamine	PPI
Capsule	Cetrizine	Antacid	PPI
Syrup	Cetrizine	Antibiotic	PPI
Ointment	Omeprazole	Antipyretic	Penicillin
Tablet	Cetrizine	Antacid	Penicillin
Ointment	Aspirin	Painkiller	Penicillin
Capsule	Aspirin	Painkiller	PPI
Tablet	Amoxicillin	Antibiotic	Salicylate
Capsule	Ibuprofen	Antipyretic	NSAID
Tablet	Omeprazole	Painkiller	Salicylate
Capsule	Aspirin	Antibiotic	H1 Blocker
Injection	Amoxicillin	Antacid	NSAID
Capsule	Amoxicillin	Antipyretic	NSAID
Ointment	Aspirin	Antihistamine	Salicylate
Injection	Omeprazole	Antihistamine	Penicillin
Tablet	Ibuprofen	Painkiller	H1 Blocker
Ointment	Omeprazole	Antipyretic	H1 Blocker
Injection	Paracetamol	Antacid	H1 Blocker
Syrup	Omeprazole	Antacid	PPI
Injection	Aspirin	Painkiller	Salicylate
Injection	Ibuprofen	Antacid	PPI
Syrup	Amoxicillin	Painkiller	Salicylate
Syrup	Amoxicillin	Antihistamine	Salicylate
Tablet	Aspirin	Painkiller	Salicylate
Tablet	Amoxicillin	Antibiotic	NSAID
Syrup	Metformin	Antihistamine	H1 Blocker
Injection	Aspirin	Antipyretic	NSAID
Ointment	Cetrizine	Antibiotic	H1 Blocker
Capsule	Paracetamol	Antacid	Salicylate
Injection	Metformin	Antihistamine	Salicylate
Ointment	Aspirin	Antihistamine	PPI
Tablet	Ibuprofen	Antihistamine	Salicylate
Capsule	Amoxicillin	Antibiotic	PPI
Ointment	Metformin	Painkiller	Penicillin
Ointment	Cetrizine	Antacid	H1 Blocker
Tablet	Cetrizine	Antibiotic	H1 Blocker
Ointment	Metformin	Antibiotic	NSAID
Injection	Paracetamol	Antipyretic	Penicillin
Tablet	Aspirin	Painkiller	Penicillin
Tablet	Aspirin	Antihistamine	Penicillin
Injection	Omeprazole	Painkiller	Penicillin
Injection	Paracetamol	Painkiller	Penicillin
Injection	Omeprazole	Painkiller	PPI
Injection	Aspirin	Antacid	PPI
Injection	Paracetamol	Antipyretic	PPI
Injection	Metformin	Antibiotic	NSAID
Syrup	Aspirin	Painkiller	Penicillin
Syrup	Amoxicillin	Painkiller	Salicylate
Tablet	Ibuprofen	Antipyretic	Penicillin
Syrup	Ibuprofen	Antibiotic	Penicillin
Tablet	Ibuprofen	Antihistamine	PPI
Injection	Ibuprofen	Antacid	NSAID
Injection	Omeprazole	Painkiller	Penicillin
Syrup	Aspirin	Painkiller	PPI
Capsule	Metformin	Antibiotic	NSAID
Syrup	Aspirin	Painkiller	H1 Blocker
Syrup	Amoxicillin	Antibiotic	H1 Blocker
Ointment	Omeprazole	Antihistamine	H1 Blocker
Syrup	Ibuprofen	Antipyretic	Salicylate
Tablet	Ibuprofen	Antacid	H1 Blocker
Tablet	Paracetamol	Antacid	Penicillin
Capsule	Cetrizine	Antihistamine	H1 Blocker
Capsule	Aspirin	Painkiller	H1 Blocker
Injection	Paracetamol	Antihistamine	Penicillin
Ointment	Amoxicillin	Painkiller	Penicillin
Tablet	Aspirin	Antibiotic	Salicylate
Syrup	Aspirin	Antihistamine	PPI
Injection	Paracetamol	Antibiotic	NSAID
Capsule	Amoxicillin	Antibiotic	Penicillin
Syrup	Aspirin	Antipyretic	NSAID
Tablet	Ibuprofen	Antihistamine	Salicylate
Tablet	Omeprazole	Antihistamine	NSAID
Ointment	Cetrizine	Antipyretic	Penicillin
Tablet	Metformin	Antacid	Salicylate
Syrup	Aspirin	Painkiller	NSAID
Syrup	Aspirin	Painkiller	H1 Blocker
Injection	Ibuprofen	Antacid	Penicillin
Tablet	Omeprazole	Antipyretic	PPI
Capsule	Paracetamol	Antipyretic	PPI
Ointment	Paracetamol	Antihistamine	Salicylate
Syrup	Cetrizine	Antihistamine	Penicillin
Injection	Omeprazole	Painkiller	Salicylate
Tablet	Paracetamol	Painkiller	H1 Blocker
Tablet	Paracetamol	Antihistamine	NSAID
Syrup	Amoxicillin	Painkiller	H1 Blocker
Ointment	Aspirin	Antacid	PPI
Capsule	Aspirin	Antibiotic	Salicylate
Ointment	Metformin	Painkiller	Penicillin
Injection	Omeprazole	Antipyretic	Salicylate
Injection	Ibuprofen	Antacid	NSAID
Capsule	Metformin	Antihistamine	H1 Blocker
Ointment	Amoxicillin	Antibiotic	H1 Blocker
Syrup	Amoxicillin	Antihistamine	H1 Blocker
Capsule	Paracetamol	Painkiller	NSAID
Capsule	Ibuprofen	Antacid	NSAID
Syrup	Ibuprofen	Antibiotic	Salicylate
Capsule	Paracetamol	Antacid	PPI
Ointment	Amoxicillin	Antipyretic	NSAID
Capsule	Ibuprofen	Antihistamine	Penicillin
Injection	Omeprazole	Antacid	Salicylate
Injection	Amoxicillin	Antibiotic	Penicillin
Ointment	Paracetamol	Painkiller	PPI
Ointment	Omeprazole	Antihistamine	Salicylate
Capsule	Cetrizine	Antihistamine	Salicylate
Capsule	Omeprazole	Antacid	H1 Blocker
Tablet	Paracetamol	Painkiller	H1 Blocker
Injection	Paracetamol	Antipyretic	H1 Blocker
Syrup	Omeprazole	Painkiller	Salicylate
Syrup	Cetrizine	Antacid	PPI
Syrup	Ibuprofen	Antipyretic	Penicillin
Tablet	Ibuprofen	Antacid	Penicillin
Ointment	Amoxicillin	Antihistamine	Salicylate
Ointment	Paracetamol	Antihistamine	PPI
Capsule	Cetrizine	Antipyretic	PPI
Injection	Cetrizine	Antihistamine	Penicillin
Ointment	Paracetamol	Antihistamine	Penicillin
Syrup	Omeprazole	Antibiotic	PPI
Tablet	Ibuprofen	Antipyretic	NSAID
Ointment	Amoxicillin	Antipyretic	H1 Blocker
Tablet	Metformin	Antipyretic	PPI
Tablet	Omeprazole	Antacid	Penicillin
Ointment	Amoxicillin	Antipyretic	H1 Blocker
Injection	Metformin	Antihistamine	H1 Blocker
Tablet	Metformin	Antibiotic	Penicillin
Syrup	Cetrizine	Painkiller	H1 Blocker
Injection	Ibuprofen	Antihistamine	Penicillin
Capsule	Omeprazole	Painkiller	Salicylate
Tablet	Ibuprofen	Antacid	Penicillin
Syrup	Ibuprofen	Painkiller	Penicillin
Injection	Metformin	Antacid	H1 Blocker
Syrup	Paracetamol	Antibiotic	Penicillin
Ointment	Cetrizine	Antipyretic	NSAID
Tablet	Paracetamol	Painkiller	NSAID
Ointment	Cetrizine	Painkiller	H1 Blocker
Capsule	Metformin	Antipyretic	Penicillin
Syrup	Metformin	Antibiotic	Penicillin
Injection	Ibuprofen	Painkiller	PPI
